user_id,hotel_id,note
0,130,4
0,223,4
0,260,3
0,416,3
0,487,0
0,764,2
0,769,2
0,1389,2
0,1457,2
0,1524,3
0,1533,1
1,50,0
1,92,1
1,176,2
1,527,3
1,1005,2
1,1222,2
1,1271,3
1,1460,1
1,1527,3
1,1533,2
1,1569,0
1,1598,1
1,1655,3
1,1734,2
2,49,0
2,702,0
2,765,1
2,1549,0
2,1676,0
3,162,2
3,238,2
3,375,0
3,650,3
3,656,2
3,1314,3
3,1356,1
3,1357,2
3,1368,3
3,1693,2
3,1745,4
4,379,0
4,467,0
4,807,0
4,1027,0
4,1430,4
4,1493,0
5,233,3
5,1127,2
5,1466,3
5,1536,3
5,1657,3
6,120,0
6,165,1
6,178,0
6,977,4
6,1072,0
6,1169,0
6,1275,0
6,1741,0
7,54,1
7,149,3
7,246,4
7,359,2
7,508,1
7,548,1
7,584,4
7,898,4
7,1258,4
7,1302,4
7,1463,3
7,1521,3
7,1534,2
7,1600,1
7,1678,4
8,76,2
8,396,2
8,666,1
8,722,2
8,736,1
8,845,2
8,867,2
8,900,3
8,1011,5
8,1175,3
8,1342,2
8,1450,2
8,1545,3
8,1663,2
8,1720,5
9,56,0
9,263,2
9,428,2
9,477,0
9,812,2
9,1005,3
9,1068,2
9,1234,1
9,1432,0
9,1545,3
9,1646,4
10,44,3
10,760,4
10,979,3
10,1300,4
10,1714,6
11,2,3
11,470,3
11,492,1
11,697,3
11,731,0
11,801,3
11,876,5
11,957,0
11,986,3
11,1204,2
11,1548,3
11,1637,2
11,1674,2
12,320,6
12,771,1
12,1254,0
12,1310,0
12,1477,6
12,1497,0
12,1747,2
13,17,5
13,96,2
13,201,2
13,266,2
13,438,1
13,821,1
13,1471,2
13,1560,1
14,67,3
14,248,2
14,763,1
14,925,4
14,1007,4
14,1082,3
14,1163,3
14,1608,2
15,211,0
15,401,3
15,431,4
15,557,3
15,671,0
15,872,5
15,1241,2
15,1359,1
15,1733,2
16,238,5
16,349,3
16,430,3
16,601,3
16,623,1
16,650,4
16,657,1
16,855,2
16,1016,5
16,1234,1
16,1617,4
17,304,4
17,425,2
17,560,6
17,655,4
17,806,3
17,878,3
17,1234,3
17,1480,3
17,1619,2
17,1677,1
17,1703,0
18,83,2
18,98,2
18,288,1
18,602,1
18,665,1
18,760,1
18,1057,3
18,1103,3
18,1201,4
18,1733,3
19,188,1
19,426,3
19,606,0
19,623,0
19,860,2
19,934,2
19,961,3
19,1222,2
19,1254,3
19,1334,2
19,1763,1
20,409,2
20,627,3
20,1038,4
20,1368,2
20,1395,1
21,627,4
21,699,5
21,986,1
21,1363,5
21,1449,5
22,373,0
22,481,3
22,484,5
22,522,0
22,549,0
22,590,2
22,611,3
22,655,3
22,713,0
22,921,0
22,969,0
22,1200,4
22,1267,4
23,92,0
23,350,0
23,520,4
23,633,2
23,641,4
23,904,4
23,953,4
23,980,2
23,1040,2
23,1300,0
24,257,1
24,337,2
24,597,2
24,1083,6
24,1135,2
24,1298,1
24,1565,2
24,1674,1
25,236,5
25,378,0
25,520,3
25,848,0
25,909,0
25,910,1
25,1103,0
25,1757,6
26,46,6
26,336,1
26,608,0
26,735,1
26,953,5
26,1036,0
26,1053,1
26,1323,3
26,1476,0
26,1510,8
26,1667,0
27,757,3
27,902,6
27,977,0
27,1200,4
27,1375,2
28,370,1
28,518,2
28,629,4
28,710,2
28,909,2
28,990,2
28,1039,4
28,1056,2
28,1064,1
28,1098,3
28,1213,2
28,1624,1
28,1711,0
29,196,0
29,604,0
29,1266,3
29,1295,2
29,1408,0
29,1451,4
29,1731,0
29,1764,0
30,54,3
30,119,3
30,197,3
30,225,2
30,332,3
30,375,3
30,565,3
30,682,1
30,693,4
30,759,5
30,959,2
30,1304,5
30,1552,4
30,1697,3
31,396,6
31,525,3
31,600,2
31,712,2
31,718,5
31,1104,1
31,1227,3
32,79,4
32,211,0
32,274,2
32,540,2
32,1200,3
32,1282,3
32,1387,2
32,1651,4
32,1716,3
33,176,1
33,764,2
33,1095,0
33,1141,4
33,1145,4
33,1176,4
33,1224,4
33,1229,2
33,1686,2
34,241,1
34,356,1
34,590,3
34,596,4
34,977,2
34,980,3
34,1008,1
34,1227,2
34,1527,3
34,1548,1
35,326,1
35,387,2
35,393,1
35,432,1
35,600,4
35,713,1
35,738,0
35,753,0
35,825,1
35,887,2
35,1021,2
35,1202,1
35,1488,2
35,1693,0
36,1063,4
36,1092,3
36,1111,3
36,1300,5
36,1371,2
36,1556,1
37,261,4
37,563,4
37,786,4
37,1082,1
37,1152,3
37,1283,3
37,1505,3
38,19,2
38,318,4
38,492,1
38,507,3
38,765,1
38,783,1
38,804,1
38,959,1
38,969,4
38,1600,3
38,1614,2
38,1656,1
38,1699,4
39,3,3
39,35,4
39,178,3
39,289,2
39,938,3
39,1422,4
39,1539,2
39,1753,4
40,69,0
40,162,0
40,239,5
40,268,0
40,448,0
40,779,0
40,894,2
40,949,0
40,973,5
40,983,0
40,1071,0
40,1491,0
40,1675,1
40,1741,1
41,370,2
41,391,5
41,523,4
41,710,3
41,1332,0
41,1407,0
41,1518,1
41,1566,0
41,1685,0
41,1757,3
41,1763,5
42,681,3
42,746,4
42,782,3
42,805,3
42,1209,4
42,1672,1
42,1724,2
43,152,5
43,180,5
43,227,4
43,232,3
43,563,1
43,1218,1
43,1228,1
43,1425,1
43,1565,4
43,1608,6
43,1627,4
43,1694,1
44,157,3
44,587,3
44,678,2
44,688,3
44,772,5
44,1450,3
44,1454,2
44,1542,3
45,213,4
45,355,3
45,529,0
45,794,4
45,858,1
45,961,4
45,1324,1
45,1549,1
46,239,2
46,282,3
46,666,3
46,743,0
46,1008,2
46,1461,2
47,65,5
47,169,2
47,226,2
47,498,2
47,757,1
47,937,2
47,1041,4
47,1086,3
47,1126,1
47,1203,2
47,1255,0
47,1329,0
47,1347,2
47,1449,1
47,1717,4
48,260,1
48,568,4
48,703,0
48,743,0
48,863,4
48,1385,0
48,1494,0
